"name","id","urlname","country_acronym","state","city","members","lat","lon","timezone"
"R-Ladies Christchurch","31807417","rladies-christchurch","nz","","Christchurch",90,-43.53,172.64,"Pacific/Auckland"
"R-Ladies El Paso","31679846","rladies-el-paso","us","TX","El Paso",75,31.76,-106.49,"America/Denver"
"R-Ladies Concepción","31653468","rladies-concepcion","cl","","Concepción",603,-36.83,-73.05,"America/Santiago"
"R-Ladies Lavras","31653398","rladies-lavras","br","","Lavras",71,-21.25,-45.01,"America/Sao_Paulo"
"R-Ladies Belo Horizonte","28226484","rladies-belo-horizonte","br","","Belo Horizonte",900,-19.92,-43.94,"America/Sao_Paulo"
"R-Ladies Montevideo","24222373","rladies-montevideo","uy","","Montevideo",487,-34.87,-56.17,"America/Montevideo"
"R-Ladies Rio de Janeiro","22664282","rladies-rio","br","","Rio de Janeiro",638,-22.91,-43.2,"America/Sao_Paulo"
"R-Ladies Buenos Aires","21760043","rladies-buenos-aires","ar","","Buenos Aires",1575,-34.61,-58.37,"America/Argentina/Buenos_Aires"
"R-Ladies Floripa","31577218","rladies-florianopolis","br","","Florianópolis",462,-27.6,-48.54,"America/Sao_Paulo"
"R-Ladies Bogor","31577107","rladies-bogor","id","","Bogor",322,-6.58,106.79,"Asia/Jakarta"
"R-Ladies Bogotá","26017877","rladies-bogota","co","","Bogotá",324,4.63,-74.09,"America/Bogota"
"R-Ladies St. Louis","25681976","rladies-st-louis","us","MO","Saint Louis",1304,38.63,-90.19,"America/Chicago"
"R-Ladies Taipei","20871369","rladies-taipei","tw","","Taipei",2103,25.02,121.45,"Asia/Taipei"
"R-Ladies Twin Cities","18529799","rladies-tc","us","MN","Minneapolis",456,44.94,-93.22,"America/Chicago"
"R-Ladies Queretaro","31514006","rladies-queretaro","mx","","Querétaro",916,20.59,-100.4,"America/Mexico_City"
"R-Ladies Nelson","31457211","rladies-nelson","nz","","Nelson",23,-41.29,173.24,"Pacific/Auckland"
"R-Ladies Den Bosch","31457077","rladies-den-bosch","nl","","Den Bosch",166,51.7,5.3,"Europe/Amsterdam"
"R-Ladies Bilbao","31264653","rladies-bilbao","es","","Bilbao",227,43.25,-2.93,"Europe/Madrid"
"R-Ladies Newcastle","31264590","rladies-newcastle","gb","41","Newcastle Upon Tyne",271,55,-1.6,"Europe/London"
"R-Ladies Frankfurt","31264536","rladies-frankfurt","de","","Frankfurt",107,50.12,8.68,"Europe/Berlin"
"R-Ladies Kyiv","31174585","rladies-kyiv","ua","","Kyiv",307,50.44,30.52,"Europe/Kiev"
"R-Ladies Freiburg","30994180","rladies-freiburg","de","","Freiburg",950,47.99,7.85,"Europe/Berlin"
"R-Ladies Canberra","30680825","rladies-canberra","au","","Canberra",223,-35.31,149.13,"Australia/Sydney"
"R-Ladies Houston","30666379","rladies-houston","us","TX","Houston",124,29.72,-95.22,"America/Chicago"
"R-Ladies Ottawa","30655714","rladies-ottawa","ca","ON","Ottawa",230,45.45,-75.69,"America/Toronto"
"R-Ladies Charlottesville","26004745","rladies-charlottesville","us","VA","Charlottesville",427,38,-78.46,"America/New_York"
"R-Ladies Santa Rosa","23174619","rladies-santa-rosa","ar","","Santa Rosa",146,-36.62,-64.3,"America/Argentina/Cordoba"
"R-Ladies Lyon","30421186","rladies-lyon","fr","","Lyon",83,45.76,4.83,"Europe/Paris"
"R-Ladies Strasbourg","26068732","rladies-strasbourg","fr","","Strasbourg",81,48.58,7.75,"Europe/Paris"
"R-Ladies Philly","26229746","rladies-philly","us","PA","Philadelphia",2036,40.12,-75.01,"America/New_York"
